ds,yhat,yhat_lower,yhat_upper
2020-04-23,31.366894929550632,28.74625427771119,33.93982062588794
2020-05-07,28.46900312932503,25.91537715790126,30.80347977883016
2020-05-14,28.217301030980735,25.505272931527376,30.54795320161081
2020-05-21,28.820179446918154,26.370000480012667,31.209768017839476
2020-05-28,29.82613669512054,27.258781134435495,32.51459646486508
2020-06-04,30.488343322090884,27.975639084859008,33.2214070694324
2020-06-11,30.525082790536672,27.96376704201077,33.06015432580278
2020-06-18,30.477073880585664,27.784408169834347,33.10448069222178
2020-06-25,31.16768654404067,28.844863171118387,33.69659716637313
2020-07-02,32.72519295635246,30.132990892876354,35.33916054939686
2020-07-09,34.214262612092504,31.620323411522584,36.68648378807021
2020-07-16,34.39505522120922,32.06092893507841,36.98827173935212
2020-07-22,33.11680015843579,30.69669808580738,35.62621366067322
2020-08-19,30.602233913198482,28.045678404323933,33.12077429031385
2020-09-02,31.8475668988038,29.386615993152276,34.41108502867604
2020-09-16,32.16570192935397,29.657826633874304,34.618831641027974
2020-09-30,33.02647955174707,30.44666280488292,35.517648271397356
2020-10-14,33.4827271664668,31.032324967941737,35.95738385139184
2020-10-28,35.74985046150659,33.24336492342059,38.1463359635767
2020-11-11,34.72280649084527,32.043007690504346,36.91321771265342
2020-11-25,32.293555403516145,29.831707544679197,34.67884583018803
2020-12-09,35.86803502260815,33.23113594947677,38.13242092883224
2020-12-22,32.512427980764826,30.127453711033795,35.10351148731439
2021-01-06,31.705179239194454,29.210385554431856,34.265712033070564
2021-01-20,31.269370341812554,28.851387841526154,33.755621648047494
2021-02-03,32.69054655020745,30.145810475901563,35.156848609071055
2021-02-17,30.936021996823392,28.5724216449249,33.34312823100849
2021-03-03,30.519927449464348,28.04042416797341,33.064212259677326
2021-03-17,31.355687855279882,28.881079474525546,33.887926722799094
2021-03-30,24.649197541977657,22.047822850643026,27.14290996927056
2021-04-14,29.26056442400271,26.945025270882077,31.863527081656063
2021-04-28,27.908344916144344,25.28178470494628,30.466921306473928
2021-05-12,26.57302479092374,24.105101567749163,29.098238343494447
2021-05-26,28.058642028041604,25.629285455847267,30.38730798936188
2021-06-09,29.041977336673614,26.631879714502514,31.603398920501874
2021-06-23,29.247154939990693,26.846574630482863,31.899968964883943
